node_label	count0	count1	count2	topo0	topo1	topo2
QS2	1000	0	0	((QUvaseyana_P002_WC11_A,TRdoichangensis_trans),(CPcalathiformis_trans,CTpumila_trans));	((QUvaseyana_P002_WC11_A,CPcalathiformis_trans),(TRdoichangensis_trans,CTpumila_trans));	((QUvaseyana_P002_WC11_A,CTpumila_trans),(CPcalathiformis_trans,TRdoichangensis_trans));
QS3	1000	0	0	((CTsativa_trans,LOgraciliformis_P012_WB07_SP),(CPorthacantha_trans,CPcalathiformis_trans));	((CTsativa_trans,CPorthacantha_trans),(LOgraciliformis_P012_WB07_SP,CPcalathiformis_trans));	((CTsativa_trans,CPcalathiformis_trans),(CPorthacantha_trans,LOgraciliformis_P012_WB07_SP));
QS4	185	0	0	((CPcalathiformis_trans,CYtiaoloshanica_P001_WD07_A),(CPdelavayi_trans,CPorthacantha_trans));	((CPcalathiformis_trans,CPdelavayi_trans),(CYtiaoloshanica_P001_WD07_A,CPorthacantha_trans));	((CPcalathiformis_trans,CPorthacantha_trans),(CPdelavayi_trans,CYtiaoloshanica_P001_WD07_A));
QS5	1000	0	0	((CPdelavayi_trans,CYxanthoclada_P002_WF03_A),(CTsativa_trans,CTpumila_trans));	((CPdelavayi_trans,CTsativa_trans),(CYxanthoclada_P002_WF03_A,CTpumila_trans));	((CPdelavayi_trans,CTpumila_trans),(CTsativa_trans,CYxanthoclada_P002_WF03_A));
QS6	185	0	0	((CTpumila_trans,LOnixoniana_P011_WE11_A),(CTsativa_trans,CThenryi_trans));	((CTpumila_trans,CTsativa_trans),(LOnixoniana_P011_WE11_A,CThenryi_trans));	((CTpumila_trans,CThenryi_trans),(CTsativa_trans,LOnixoniana_P011_WE11_A));
QS7	998	0	2	((CTsativa_trans,TRdoichangensis_trans),(CYlobbii_P004_WD03_A,LPhenryi_P020_WA08));	((CTsativa_trans,CYlobbii_P004_WD03_A),(TRdoichangensis_trans,LPhenryi_P020_WA08));	((CTsativa_trans,LPhenryi_P020_WA08),(CYlobbii_P004_WD03_A,TRdoichangensis_trans));
QS8	709	245	46	((LPhenryi_P020_WA08,CTpumila_trans),(CEtrojana_P002_WF07_A,LOtrinitatis_P006_WH05_SP));	((LPhenryi_P020_WA08,CEtrojana_P002_WF07_A),(CTpumila_trans,LOtrinitatis_P006_WH05_SP));	((LPhenryi_P020_WA08,LOtrinitatis_P006_WH05_SP),(CEtrojana_P002_WF07_A,CTpumila_trans));
QS9	557	90	315	((LOgracilior_P011_WG09_A,LPannamensis_P001_WB08),(CYchrysotricha_P017_WB09_A,CEcerris_trans_A));	((LOgracilior_P011_WG09_A,CYchrysotricha_P017_WB09_A),(LPannamensis_P001_WB08,CEcerris_trans_A));	((LOgracilior_P011_WG09_A,CEcerris_trans_A),(CYchrysotricha_P017_WB09_A,LPannamensis_P001_WB08));
QS10	985	9	6	((ILilex_P009_WD07_A,LOgulielmi_treleasei_P009_WD06_A),(CYrex_P001_WD08_A,CYpentacycla_P001_WE11_A));	((ILilex_P009_WD07_A,CYrex_P001_WD08_A),(LOgulielmi_treleasei_P009_WD06_A,CYpentacycla_P001_WE11_A));	((ILilex_P009_WD07_A,CYpentacycla_P001_WE11_A),(CYrex_P001_WD08_A,LOgulielmi_treleasei_P009_WD06_A));
QS11	1000	0	0	((CYpentacycla_P001_WE11_A,QUpubescens_P011_WF08_A),(CYsichourensis_P001_WE10_A,CYrex_P001_WD08_A));	((CYpentacycla_P001_WE11_A,CYsichourensis_P001_WE10_A),(QUpubescens_P011_WF08_A,CYrex_P001_WD08_A));	((CYpentacycla_P001_WE11_A,CYrex_P001_WD08_A),(CYsichourensis_P001_WE10_A,QUpubescens_P011_WF08_A));
