id,node_label,freq0,qc,qd,qi,qf,qdsig,diff,num_replicates,notes,qf_rank,sect
1,QS2,1,1,NA,1,NA,NA,877.659302,1000,,NA,OT
2,QS3,1,1,NA,1,NA,NA,303.913227,1000,,NA,OT
3,QS4,1,1,NA,1,NA,NA,136.619673,185,,NA,OT
4,QS5,1,1,NA,1,NA,NA,793.0703,1000,,NA,OT
5,QS6,1,1,NA,1,NA,NA,205.412895,185,,NA,OT
6,QS7,0.998,0.979185929,0,1,NA,NA,618.312754,1000,,NA,deepNode
7,QS8,0.709,0.335474441,0.316151203,1,NA,NA,161.658872,1000,,NA,deepNode
8,QS9,0.579002079,0.177492117,0.444444444,0.962,NA,NA,1.857936,1000,,NA,deepNode
9,QS10,0.985,0.919919261,0.8,1,NA,NA,407.664449,1000,,NA,CY
10,QS11,1,1,NA,1,NA,NA,664.749268,1000,,NA,CY
11,QS12,0.793244626,0.417208077,0.653465347,0.977,NA,NA,29.982152,1000,,NA,CY
12,QS13,0.492857143,0.300971399,0.067605634,0.956284153,NA,NA,40.321192,732,,NA,CY
13,QS14,0.989130435,0.913495786,0,0.994594595,NA,NA,144.207283,185,,NA,CY
14,QS15,1,1,NA,1,NA,NA,231.848303,549,,NA,CY
15,QS16,0.806584362,0.440040176,0.680851064,0.972,NA,NA,94.952705,1000,,NA,CY
16,QS17,0.976,0.893156641,0.083333333,1,NA,NA,378.90463,1000,,NA,CY
17,QS18,0.437435367,0.044329703,0.702205882,0.967,NA,NA,24.408321,1000,,NA,CY
18,QS19,0.353608247,0.001163805,0.966507177,0.97,NA,NA,21.83097,1000,,NA,CY
19,QS20,0.564908722,0.107698728,0.834498834,0.986,NA,NA,342.495137,1000,,NA,CY
20,QS21,0.450661241,-0.20893283,0.203703704,0.983,NA,NA,150.27526,1000,,NA,CY
21,QS22,0.73374613,0.327280311,0.573643411,0.969,NA,NA,62.757479,1000,,NA,CY
22,QS23,0.694560669,0.349177086,0.200913242,0.979508197,NA,NA,19.331906,732,,NA,CY
23,QS24,0.983783784,0.880367253,0,1,NA,NA,170.210031,185,,NA,CY
24,QS25,0.861682243,0.557558055,0.594594595,0.974499089,NA,NA,15.024664,549,,NA,CY
25,QS26,0.925055928,0.739546389,0.149253731,0.987845304,NA,NA,180.173483,905,,NA,CY
